id;time;lang;place
1995;13,1;21;Echternach
1996;14,1;31;
1997;14,2;22;
1998;14,1;11;
1999;14,2;11;
2000;14,2;11;
2001;14,2;13;
2002;14,2;11;
2003;14,1;11;
2004;14,1;20;
2005;14,1;20;
2006;14,1;20;
2007;14,1;ambig;
2008;14,2;20;
2009;14,2;20;
2010;14,2;20;
2012;14,2;11;
2013;14,1;11;
2014;14,2;südl. Oberrhein. oder west. Südalem.;
2016;14,1;12;
2017;14,1;11;
2020;15,1;12;
2021;15,1;12;
2022;14,2;12;
2024;14,2;11;
2025;14,2;20;
2027;13,2;nicht feststellbar;
2028;14,1;21;
2029;14,2;22;
2030;14,1;10;
2031;14,1;11;
2032;14,1;20;
2033;15,2;12;
2034;14,1;11;
2035;14,1;20;
2036;14,2;20;
2037;14,1;ambig;
2038;14,2;12;Nördlingen Autograph Hans Mairs
2039;15,1;30;
2040;15,1;30;
2041;14,1;ambig;
2042;15,2;20;
2043;14,2;20;
2044;14,1;nördl. Bair.;
2045;14,1;11;
2046;14,2;11;
2047;14,1;20;
2048;14,1;20;
2049;14,2;11;
2050;14,1;21;
2051;14,2;30;
2052;14,2;11;
2053;14,2;20;
2054;14,2;11;
2055;14,1;ambig;
2056;14,1;20;
2057;14,1;11;
2058;14,2;11;
2059;14,2;ambig;
2060;14,2;11;
2061;14,2;ambig;
2062;14,2;30;
2063;14,2;12;
2064;14,2;13;
2065;14,2;ambig;
2066;14,1;21;
2067;14,2;22;
2068;15,1;22;
2069;14,2;11;
2070;14,2;21;
2071;14,2;ambig;
2072;14,1;10;
2073;14,1;böhm.;
2074;14,1;22;
2075;14,1;20;
2076;14,1;20;
2077;14,2;11;
2078;14,1;böhm.;
2079;14,1;11;
2080;14,1;12;Augsburg
2081;14,2;30;
2083;14,1;30;
2084;14,1;20;
2085;14,1;20;
2086;14,1;?;
2087;14,1;11;
2088;14,1;20;
2089;14,1;22;
2090;14,2;20;
2091;14,1;11;
2092;14,2;20;
2093;14,2;11;
2094;14,1;11;
2095;14,2;21;
2096;14,2;10;
2097;14,2;unbekannt;
2098;14,1;ambig;
2099;14,1;21;
2100;14,2;ambig;
2101;14,1;unbekannt;
2102;14,2;20;
2103;14,1;20;
2104;14,2;12;
2105;14,2;10;
2106;14,1;?;
2107;14,2;11;
2108;14,1;12;
2109;14,1;21;
2110;14,2;20;
2111;14,2;20;
2112;14,2;11;
2113;14,1;unbekannt;
2114;14,2;10;
2115;14,2;21;
2116;14,2;11;
2117;14,2;ambig;
2118;14,1;ambig;
2119;14,1;11;
2120;14,1;10;
2121;14,1;11;Zwettl
2122;14,2;10;
2123;14,2;22;
2124;14,2;11;
2125;15,1;11;
2126;14,2;11;
2127;14,2;11;
2128;14,2;11;
2129;14,2;10;
2130;14,2;11;
2131;14,1;21;
2132;14,1;11;
2133;14,2;11;
2134;14,2;12;
2135;14,2;10;
2136;14,1;11;
2137;14,2;ambig;
2138;14,2;21;
2139;14,2;?;
2140;14,1;?;
2141;14,2;12;
2142;14,2;11;
2143;14,2;10;
2144;14,2;20;
2145;14,2;?;
2146;15,1;20;
2147;14,1;21;
2148;14,2;12;
2149;14,1;21;
2150;14,1;21;
2151;14,1;20;
2152;14,2;11;
2153;14,1;11;
2154;14,1;11;
2155;14,2;mährisch;
2156;14,1;22;
2157;14,1;20;
2158;14,1;11;Heiligenkreuz
2159;14,2;ambig;
2160;14,2;ambig;
2161;14,1;11;
2162;14,2;11;
